Parent Link,Parent Title,Child Link,"Child Title, Weights"
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Capital_city',b'Capital city',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Eiffel_Tower',b'Eiffel Tower',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Seine',b'Seine',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Arc_de_Triomphe',b'Arc de Triomphe',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Palais_Garnier',b'Palais Garnier',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Louvre',b'Louvre',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Flag_of_Paris',b'Flag of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Coat_of_arms_of_Paris',b'Coat of arms of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Fluctuat_nec_mergitur',b'Fluctuat nec mergitur',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Geographic_coordinate_system',b'Geographic coordinate system',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/France',b'France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Regions_of_France',b'Regions of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/%C3%8Ele-de-France',b'\xc3\x8ele-de-France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Departments_of_France',b'Departments of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Communes_of_France#Intercommunality',b'Communes of France',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Grand_Paris',b'Grand Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Administrative_division',b'Administrative division',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Arrondissements_of_Paris',b'Arrondissements of Paris',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Anne_Hidalgo',b'Anne Hidalgo',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Socialist_Party_(France)',b'Socialist Party (France)',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Urban_area',b'Urban area',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Metropolitan_area',b'Metropolitan area',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Demonym',b'Demonym',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/English_language',b'English language',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/French_language',b'French language',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Time_zone',b'Time zone',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Central_European_Time',b'Central European Time',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Daylight_saving_time',b'Daylight saving time',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Central_European_Summer_Time',b'Central European Summer Time',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/INSEE_code',b'INSEE code',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org//upload.wikimedia.org/wikipedia/commons/f/fd/Paris_Pronunciation_in_French_by_James_Tamim.ogg',b'Paris Pronunciation in French by James Tamim.ogg',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',"b'https://en.wikipedia.org/wiki/List_of_communes_in_France_with_over_20,000_inhabitants'","b'List of communes in France with over 20,000 inhabitants'",2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Population',b'Population',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/List_of_cities_proper_by_population_density',b'List of cities proper by population density',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Finance',b'Finance',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Diplomacy',b'Diplomacy',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Commerce',b'Commerce',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Fashion_capital',b'Fashion capital',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Gastronomy',b'Gastronomy',2222
b'https://en.wikipedia.org/wiki/Paris',b'Paris',b'https://en.wikipedia.org/wiki/Science',b'Science',2222
